lincah_1,0.00062,13,30.876,Bagus
lincah_2,0.00051,12,33.296,Bagus
lincah_3,0.00053,10,28.856,Bagus
lincah_4,0.00059,13,30.61,Bagus
lincah_5,0.00054,15,30.559,Bagus
lincah_6,0.00064,4,29.856,Bagus
lincah_7,0.00061,12,28.788,Bagus
lincah_8,0.00067,16,24.959,Bagus
lincah_9,0.00059,15,32.678,Bagus
lincah_10,0.00174,14,21.875,Bagus
lambat_1,0.00138,16,28.046,Tidak Bagus
lambat_2,0.00255,9,26.071,Tidak Bagus
lambat_3,0.0011,8,21.498,Tidak Bagus
lambat_4,0.00233,9,26.69,Tidak Bagus
lambat_5,0.00162,7,21.833,Tidak Bagus
lambat_6,0.00066,11,34.953,Tidak Bagus
lambat_7,0.00261,7,25.546,Tidak Bagus
lambat_8,0.00054,6,28.779,Tidak Bagus
lambat_9,0.00204,9,17.945,Tidak Bagus
lambat_10,0.00092,10,35.66,Tidak Bagus
